habit_name,date,habit_type,habit_unit,habit_value
Tabletki,2018-03-19,0,,2
Tabletki,2018-03-20,0,,2
Tabletki,2018-03-21,0,,2
Tabletki,2018-03-22,0,,2
Tabletki,2018-03-23,0,,2
Tabletki,2018-03-24,0,,2
Tabletki,2018-03-25,0,,2
Tabletki,2018-03-26,0,,2
Tabletki,2018-03-27,0,,2
Tabletki,2018-03-28,0,,2
Tabletki,2018-03-29,0,,2
Tabletki,2018-03-30,0,,2
Tabletki,2018-03-31,0,,2
Tabletki,2018-04-01,0,,2
Tabletki,2018-04-02,0,,2
Tabletki,2018-04-03,0,,2
Tabletki,2018-04-04,0,,2
Tabletki,2018-04-05,0,,2
Tabletki,2018-04-06,0,,2
Tabletki,2018-04-07,0,,2
Tabletki,2018-04-10,0,,2
Tabletki,2018-04-11,0,,2
Tabletki,2018-04-12,0,,2
Tabletki,2018-04-13,0,,2
Tabletki,2018-04-15,0,,2
Tabletki,2018-04-16,0,,2
Tabletki,2018-04-18,0,,2
Tabletki,2018-04-19,0,,2
Tabletki,2018-04-20,0,,2
Tabletki,2018-04-22,0,,2
Tabletki,2018-04-23,0,,2
Tabletki,2018-04-24,0,,2
Tabletki,2018-04-25,0,,2
Tabletki,2018-05-05,0,,2
Tabletki,2018-05-07,0,,2
Tabletki,2018-05-08,0,,2
Tabletki,2018-08-26,0,,2
Tabletki,2018-08-28,0,,2
Tabletki,2019-08-18,0,,2
Tabletki,2019-08-19,0,,2
Tabletki,2019-08-22,0,,2
Tabletki,2019-08-23,0,,2
Tabletki,2019-08-25,0,,2
Tabletki,2019-08-26,0,,2
Tabletki,2019-08-27,0,,2
Tabletki,2019-08-28,0,,2
Tabletki,2019-09-06,0,,2
Tabletki,2019-09-07,0,,2
Tabletki,2019-09-08,0,,2
Tabletki,2019-09-09,0,,2
Tabletki,2019-09-11,0,,2
Tabletki,2019-09-12,0,,2
Tabletki,2019-09-13,0,,2
Tabletki,2019-09-16,0,,2
Tabletki,2019-09-17,0,,2
Tabletki,2019-09-18,0,,2
Tabletki,2019-09-19,0,,2
Tabletki,2019-09-20,0,,2
Tabletki,2019-09-21,0,,2
Tabletki,2019-09-22,0,,2
Tabletki,2019-09-23,0,,2
Tabletki,2019-09-24,0,,2
Tabletki,2019-09-25,0,,2
Tabletki,2019-09-26,0,,2
Tabletki,2019-09-27,0,,2
Tabletki,2019-09-28,0,,2
Tabletki,2019-10-02,0,,2
Tabletki,2019-10-04,0,,2
Tabletki,2019-10-05,0,,2
Tabletki,2019-10-06,0,,2
Tabletki,2019-10-07,0,,2
Tabletki,2019-10-13,0,,2
Tabletki,2019-10-14,0,,2
Tabletki,2019-10-15,0,,2
Tabletki,2019-10-20,0,,2
Tabletki,2019-10-21,0,,2
Tabletki,2019-10-22,0,,2
Tabletki,2019-10-25,0,,2
Tabletki,2019-10-26,0,,2
Tabletki,2019-10-27,0,,2
Tabletki,2019-10-28,0,,2
Tabletki,2019-11-25,0,,2
Tabletki,2019-11-26,0,,2
Tabletki,2019-11-27,0,,2
Tabletki,2019-11-28,0,,2
Tabletki,2019-11-29,0,,2
Tabletki,2019-11-30,0,,2
Tabletki,2019-12-01,0,,2
Tabletki,2019-12-02,0,,2
Tabletki,2019-12-03,0,,2
Tabletki,2019-12-04,0,,2
Tabletki,2019-12-05,0,,2
Tabletki,2019-12-06,0,,2
Tabletki,2019-12-07,0,,2
Tabletki,2019-12-08,0,,2
Tabletki,2019-12-09,0,,2
Tabletki,2019-12-10,0,,2
Tabletki,2019-12-11,0,,2
Tabletki,2019-12-12,0,,2
Tabletki,2019-12-13,0,,2
Tabletki,2019-12-14,0,,2
Tabletki,2019-12-15,0,,2
Tabletki,2019-12-16,0,,2
Tabletki,2019-12-17,0,,2
Tabletki,2019-12-18,0,,2
Tabletki,2019-12-19,0,,2
Tabletki,2019-12-20,0,,2
Tabletki,2019-12-21,0,,2
Tabletki,2019-12-26,0,,2
Tabletki,2019-12-27,0,,2
Tabletki,2019-12-28,0,,2
Tabletki,2019-12-31,0,,2
Tabletki,2020-01-01,0,,2
Tabletki,2020-01-02,0,,2
Tabletki,2020-01-03,0,,2
Tabletki,2020-01-04,0,,2
Tabletki,2020-01-05,0,,2
Tabletki,2020-01-06,0,,2
Tabletki,2020-02-12,0,,2
Tabletki,2020-02-13,0,,2
Tabletki,2020-02-14,0,,2
Tabletki,2020-02-15,0,,2
Tabletki,2020-02-16,0,,2
Tabletki,2020-02-17,0,,2
Tabletki,2020-02-18,0,,2
Tabletki,2020-02-19,0,,2
Tabletki,2020-02-20,0,,2
Tabletki,2020-02-21,0,,2
Tabletki,2020-02-22,0,,2
Tabletki,2020-02-23,0,,2
Tabletki,2020-02-24,0,,2
Tabletki,2020-02-25,0,,2
Tabletki,2020-02-26,0,,2
Tabletki,2020-02-27,0,,2
Tabletki,2020-02-28,0,,2
Tabletki,2020-02-29,0,,2
Tabletki,2020-03-01,0,,2
Tabletki,2020-03-02,0,,2
Tabletki,2020-03-03,0,,2
Tabletki,2020-03-04,0,,2
Tabletki,2020-03-05,0,,2
Tabletki,2020-03-06,0,,2
Tabletki,2020-03-07,0,,2
Tabletki,2020-03-08,0,,2
Tabletki,2020-03-09,0,,2
Tabletki,2020-03-10,0,,2
Tabletki,2020-03-11,0,,2
Tabletki,2020-03-12,0,,2
Tabletki,2020-03-13,0,,2
Tabletki,2020-03-14,0,,2
Tabletki,2020-03-15,0,,2
Tabletki,2020-03-16,0,,2
Tabletki,2020-03-17,0,,2
Tabletki,2020-03-18,0,,2
Tabletki,2020-03-19,0,,2
Tabletki,2020-03-20,0,,2
Tabletki,2020-03-21,0,,2
Tabletki,2020-03-22,0,,2
Tabletki,2020-03-23,0,,2
Tabletki,2020-03-24,0,,2
Tabletki,2020-03-25,0,,2
Tabletki,2020-03-26,0,,2
Tabletki,2020-03-27,0,,2
Tabletki,2020-03-28,0,,2
Tabletki,2020-03-29,0,,2
Tabletki,2020-03-30,0,,2
Tabletki,2020-03-31,0,,2
Tabletki,2020-04-01,0,,2
Tabletki,2020-04-02,0,,2
Tabletki,2020-04-03,0,,2
Tabletki,2020-04-04,0,,2
Tabletki,2020-04-05,0,,2
Tabletki,2020-04-06,0,,2
Tabletki,2020-04-07,0,,2
Tabletki,2020-04-08,0,,2
Tabletki,2020-07-14,0,,2
Tabletki,2020-07-15,0,,2
Tabletki,2020-07-16,0,,2
Tabletki,2020-07-17,0,,2
Tabletki,2020-07-18,0,,2
Tabletki,2020-07-20,0,,2
Tabletki,2020-07-21,0,,2
Tabletki,2020-07-22,0,,2
Tabletki,2020-07-23,0,,2
Tabletki,2020-07-24,0,,2
Tabletki,2020-07-25,0,,2
Tabletki,2020-07-26,0,,2
Tabletki,2020-07-27,0,,2
Tabletki,2020-07-28,0,,2
Tabletki,2020-08-01,0,,2
Tabletki,2020-08-02,0,,2
Tabletki,2020-08-03,0,,2
Tabletki,2020-08-04,0,,2
Tabletki,2020-08-05,0,,2
Tabletki,2020-08-06,0,,2
Tabletki,2020-08-07,0,,2
Tabletki,2020-08-08,0,,2
Tabletki,2020-08-09,0,,2
Tabletki,2020-08-10,0,,2
Tabletki,2020-08-11,0,,2
Tabletki,2020-08-12,0,,2
Tabletki,2020-08-13,0,,2
Tabletki,2020-08-14,0,,2
Tabletki,2020-08-15,0,,2
Tabletki,2020-08-16,0,,2
Tabletki,2020-08-17,0,,2
Tabletki,2020-08-18,0,,2
Tabletki,2020-08-19,0,,2
Tabletki,2020-08-20,0,,2
Tabletki,2020-08-24,0,,2
Tabletki,2020-08-25,0,,2
Tabletki,2020-08-26,0,,2
Tabletki,2020-08-27,0,,2
Tabletki,2020-08-28,0,,2
Tabletki,2020-08-31,0,,2
Tabletki,2020-09-01,0,,2
Tabletki,2020-09-02,0,,2
Tabletki,2020-09-03,0,,2
Tabletki,2020-09-04,0,,2
Tabletki,2020-09-05,0,,2
Tabletki,2020-09-06,0,,2
Tabletki,2020-09-07,0,,2
Tabletki,2020-09-08,0,,2
Tabletki,2020-09-09,0,,2
Tabletki,2020-09-10,0,,2
Tabletki,2020-09-11,0,,2
Tabletki,2020-09-12,0,,2
Tabletki,2020-09-13,0,,2
Tabletki,2020-09-14,0,,2
Tabletki,2020-09-15,0,,2
Tabletki,2020-09-16,0,,2
Tabletki,2020-09-17,0,,2
Tabletki,2020-09-18,0,,2
Tabletki,2020-09-21,0,,2
Tabletki,2020-09-22,0,,2
Tabletki,2020-09-23,0,,2
Tabletki,2020-09-24,0,,2
Tabletki,2020-09-25,0,,2
Tabletki,2020-09-26,0,,2
Tabletki,2020-09-27,0,,2
Tabletki,2020-09-28,0,,2
Tabletki,2020-09-29,0,,2
Tabletki,2020-09-30,0,,2
Tabletki,2020-10-01,0,,2
Tabletki,2020-10-02,0,,2
Tabletki,2020-10-03,0,,2
Tabletki,2020-10-04,0,,2
Tabletki,2020-10-08,0,,2
Tabletki,2020-10-11,0,,2
Tabletki,2020-10-12,0,,2
Tabletki,2020-10-15,0,,2
Tabletki,2020-10-16,0,,2
Tabletki,2020-10-17,0,,2
Tabletki,2020-10-18,0,,2
Tabletki,2020-10-19,0,,2
Tabletki,2020-10-20,0,,2
Tabletki,2020-10-21,0,,2
Tabletki,2020-10-22,0,,2
Tabletki,2020-10-23,0,,2
Tabletki,2020-10-24,0,,2
Tabletki,2020-10-25,0,,2
Tabletki,2020-10-26,0,,2
Tabletki,2020-10-27,0,,2
Tabletki,2020-10-28,0,,2
Tabletki,2020-10-29,0,,2
Tabletki,2020-10-30,0,,2
Tabletki,2020-10-31,0,,2
Tabletki,2020-11-01,0,,2
Tabletki,2020-11-02,0,,2
Tabletki,2020-11-03,0,,2
Tabletki,2020-11-04,0,,2
Tabletki,2020-11-05,0,,2
Tabletki,2020-11-06,0,,2
Tabletki,2020-11-07,0,,2
Tabletki,2020-11-08,0,,2
Tabletki,2020-11-09,0,,2
Tabletki,2020-11-10,0,,2
Tabletki,2020-11-11,0,,2
Tabletki,2020-11-21,0,,2
Tabletki,2020-12-01,0,,2
Tabletki,2020-12-02,0,,2
Tabletki,2020-12-03,0,,2
Tabletki,2020-12-04,0,,2
Tabletki,2020-12-05,0,,2
Tabletki,2020-12-06,0,,2
Tabletki,2020-12-07,0,,2
Tabletki,2020-12-08,0,,2
Tabletki,2020-12-09,0,,2
Tabletki,2020-12-11,0,,2
Tabletki,2020-12-12,0,,2
Tabletki,2020-12-13,0,,2
Tabletki,2020-12-14,0,,2
Tabletki,2020-12-15,0,,2
Tabletki,2020-12-17,0,,2
Tabletki,2020-12-18,0,,2
Tabletki,2020-12-19,0,,2
Tabletki,2020-12-20,0,,2
Tabletki,2020-12-21,0,,2
Tabletki,2020-12-22,0,,2
Tabletki,2020-12-23,0,,2
Tabletki,2020-12-24,0,,2
Tabletki,2020-12-25,0,,2
Tabletki,2020-12-26,0,,2
Tabletki,2020-12-27,0,,2
Tabletki,2020-12-28,0,,2
Tabletki,2020-12-29,0,,2
Tabletki,2020-12-30,0,,2
Tabletki,2020-12-31,0,,2
Tabletki,2021-01-01,0,,2
Tabletki,2021-01-02,0,,2
Tabletki,2021-01-03,0,,2
Tabletki,2021-01-04,0,,2
Tabletki,2021-01-05,0,,2
Tabletki,2021-01-06,0,,2
Tabletki,2021-01-07,0,,2
Tabletki,2021-01-08,0,,2
Tabletki,2021-01-09,0,,2
Tabletki,2021-01-10,0,,2
Tabletki,2021-01-11,0,,2
Tabletki,2021-01-12,0,,2
Tabletki,2021-01-13,0,,2
Tabletki,2021-01-15,0,,2
Tabletki,2021-01-16,0,,2
Tabletki,2021-01-17,0,,2
Tabletki,2021-01-18,0,,2
Tabletki,2021-01-19,0,,2
Tabletki,2021-01-20,0,,2
Tabletki,2021-01-21,0,,2
Tabletki,2021-01-22,0,,2
Tabletki,2021-01-23,0,,2
Tabletki,2021-01-26,0,,2
Tabletki,2021-01-27,0,,2
Tabletki,2021-01-28,0,,2
Tabletki,2021-01-29,0,,2
Tabletki,2021-01-30,0,,2
Tabletki,2021-02-02,0,,2
Tabletki,2021-02-03,0,,2
Tabletki,2021-02-04,0,,2
Tabletki,2021-02-05,0,,2
Tabletki,2021-02-06,0,,2
Tabletki,2021-02-07,0,,2
Tabletki,2021-02-08,0,,2
Tabletki,2021-02-10,0,,2
Tabletki,2021-02-11,0,,2
Tabletki,2021-02-12,0,,2
Tabletki,2021-02-14,0,,2
Tabletki,2021-02-15,0,,2
Tabletki,2021-02-16,0,,2
Tabletki,2021-02-17,0,,2
Tabletki,2021-02-18,0,,2
Tabletki,2021-02-20,0,,2
Tabletki,2021-02-21,0,,2
Tabletki,2021-02-22,0,,2
Tabletki,2021-02-23,0,,2
Tabletki,2021-02-24,0,,2
Tabletki,2021-02-25,0,,2
Tabletki,2021-02-27,0,,2
Tabletki,2021-02-28,0,,2
Tabletki,2021-03-01,0,,2
Tabletki,2021-03-02,0,,2
Tabletki,2021-03-04,0,,2
Tabletki,2021-03-05,0,,2
Tabletki,2021-03-06,0,,2
Tabletki,2021-03-08,0,,2
Tabletki,2021-03-09,0,,2
Tabletki,2021-03-17,0,,2
Tabletki,2021-04-02,0,,2
Tabletki,2021-04-03,0,,2
Tabletki,2021-04-04,0,,2
Tabletki,2021-04-05,0,,2
Tabletki,2021-04-06,0,,2
Tabletki,2021-04-07,0,,2
Tabletki,2021-04-08,0,,2
Tabletki,2021-04-09,0,,2
Tabletki,2021-04-10,0,,2
Tabletki,2021-04-11,0,,2
Tabletki,2021-04-12,0,,2
Tabletki,2021-04-14,0,,2
Tabletki,2021-04-15,0,,2
Tabletki,2021-04-16,0,,2
Tabletki,2021-04-17,0,,2
Tabletki,2021-04-18,0,,2
Tabletki,2021-04-20,0,,2
Tabletki,2021-04-21,0,,2
Tabletki,2021-04-22,0,,2
Tabletki,2021-04-23,0,,2
Tabletki,2021-04-24,0,,2
Tabletki,2021-04-25,0,,2
Tabletki,2021-04-26,0,,2
Tabletki,2021-04-27,0,,2
Tabletki,2021-04-28,0,,2
Tabletki,2021-04-29,0,,2
Tabletki,2021-04-30,0,,2
Tabletki,2021-05-01,0,,2
Tabletki,2021-05-02,0,,2
Tabletki,2021-05-04,0,,2
Tabletki,2021-05-05,0,,2
Tabletki,2021-05-06,0,,2
Tabletki,2021-05-07,0,,2
Tabletki,2021-05-08,0,,2
Tabletki,2021-05-09,0,,2
Tabletki,2021-05-10,0,,2
Tabletki,2021-05-11,0,,2
Tabletki,2021-05-12,0,,2
Tabletki,2021-05-13,0,,2
Tabletki,2021-05-14,0,,2
Tabletki,2021-05-15,0,,2
Tabletki,2021-05-16,0,,2
Tabletki,2021-05-17,0,,2
Tabletki,2021-05-18,0,,2
